table_2025-11-20_14-28-03
SuperWEB2(tm),,,,,,,,,,,
,,,,,,,,,,,
housedhold2022ReadOnly,,,,,,,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV402 - Accommodation type - Households All occupied households,,,,,,,,,,,
Intermediate Zone - Data Zone 2011 by Type of accomodation,,,,,,,,,,,
Counting: Households,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
Default Summation,Households,,,,,,,,,,
Percentage: Row,,,,,,,,,,,
,,,,,,,,,,,
Type of accomodation,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure,
Intermediate Zone - Data Zone 2011,,,,,,,,,,,
S01006702,100,96.3414634,1.8292683,32.0121951,61.5853659,3.6585366,3.6585366,0,0,0,
S01006703,100,63.2142857,2.5,20.3571429,40.3571429,36.7857143,36.0714286,0.7142857,0,0,
S01006704,100,46.9090909,1.8181818,9.4545455,35.6363636,53.0909091,52.7272727,0.7272727,0,0,
S01006705,100,70.5445545,1.2376238,16.8316832,52.4752475,29.4554455,29.4554455,0,0,0,
S01006706,100,78.7545788,1.0989011,21.978022,53.4798535,22.3443223,20.8791209,1.0989011,0.3663004,0,
S01006707,100,75,3.6363636,17.2727273,54.5454545,25,25,0,0,0,
S01006708,100,83.9572193,1.8716578,28.0748663,53.7433155,16.0427807,14.4385027,1.3368984,0.2673797,0,
S01006709,100,68.045977,2.5287356,29.8850575,35.6321839,31.7241379,31.2643678,0,0,0.2298851,
S01006710,100,90.0726392,3.874092,27.8450363,59.3220339,9.9273608,8.716707,0.968523,0,0.2421308,
S01006711,100,75.505618,2.6966292,21.7977528,51.011236,24.494382,24.0449438,0.8988764,0,0,
S01006712,100,95.1612903,4.4354839,30.2419355,60.483871,6.0483871,3.6290323,1.2096774,0,0,
S01006713,100,77.2321429,3.3482143,23.8839286,50,22.7678571,22.3214286,0.4464286,0,0,
S01006714,100,75.0809061,6.1488673,39.8058252,29.1262136,24.9190939,24.9190939,0,0,0,
